"Logout","Abmelden"
"Upload","Hochladen"
"Error","Fehler"
"Your SX cluster is down for maintenance, please try again later or contact your system administrator.","Dein SX Cluster ist aufgrund von Wartungsarbeiten nicht erreichbar. Bitte versuche es später erneut oder kontaktiere Deinen Administrator."
"SXWeb - An error occurred!","SXWeb - Ein Fehler ist aufgetreten!"
"Ops!","Ups!"
"Application encountered an internal error. Please check the configuration.","Ein interner Anwendungsfehler ist aufgetreten. Bitte überprüfe die Konfiguration."
"Parent directory","Übergeordnetes Verzeichnis"
"Rename","Umbenennen"
"Copy","Kopieren"
"Move","Verschieben"
"Delete","Löschen"
"Download","Herunterladen"
"Create Link","Freigeben"
"No files found.","Keine Dateien gefunden."
"First","Anfang"
"&lt; Previous","&lt; Zurück"
"Next &gt;","Vor &gt;"
"Last","Ende"
"Manage your account","Mein Konto verwalten"
"My Account","Mein Konto"
"Login","Einloggen"
"Username","Benutzername"
"Tech Support","Technische Unterstützung"
"Search...","Suchen…"
"Bulk Actions","Ausgewählte Dateien:"
"Share Folder","Verzeichnis freigeben"
"New Folder","Neues Verzeichnis"
"Name","Name"
"Size","Größe"
"Date","Datum"
"Password required!","Passwort erforderlich!"
"The volume you are trying to access is encrypted. Please provide the password.","Das Volume, welches du verwenden möchtest, ist verschlüsselt. Bitte gib das Passwort an."
"Unlock volume!","Volume öffnen!"
"Password","Passwort"
"Remember me","Angemeldet bleiben"
"Forgot Your Password?","Passwort vergessen?"
"Sign in","Anmelden"
"No volumes found!","Keine Volumes gefunden"
"Please ask the administrators to add at least one volume to your account.","Bitte frage Deinen Administrator, dir wenigstens ein Volume zuzuweisen."
"Reset password","Passwort zurücksetzen"
"Enter your email. You will receive a link to follow to reset your password.","Bitte gib Deine E-Mail-Adresse ein. Du erhälst einen Link um Dein Passwort zurückzusetzen."
"Email address","E-Mail-Adresse"
"Welcome to SXWeb!","Willkommen bei SXWeb!"
"This web interface safely stores your data in the <b>Skylable S<sup>X</sup></b> cluster running at %s.","Dieses Web Interface speichert Deine Daten sicher in einem <b>Skylable S<sup>X</sup></b> cluster auf %s."
"You can access your data anywhere, anytime using this web interface or one of the following applications:","Du kannst auf Deine Daten überall und zu jeder Zeit über dieses Web Interface zugreifen oder mit einer der folgenden Anwendungen:"
"Do not display again","Nicht noch einmal anzeigen"
"Great, thanks!","Super, danke!"
"Name:","Name:"
